Amount,Merchant,Timestamp,Description,Category
125,Clothing Store,2026-03-27T10:00:00Z,New jeans,Shopping
85,Internet Provider,2026-03-28T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2026-03-28T19:00:00Z,Pizza,Food
14,Taxi,2026-03-29T11:00:00Z,Cab fare,Transport
19.99,Spotify,2026-03-29T14:00:00Z,Premium music service,Subscription
90,Home Decor,2026-03-30T16:00:00Z,New curtains,Shopping
115,Utilities,2026-03-31T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2026-03-31T10:00:00Z,Coffee,Food
12.5,Local Cafe,2026-04-05T09:00:00Z,Coffee,Food
28,Metro Train,2026-04-05T17:45:00Z,Commuter rail ticket,Transport
19.99,Spotify,2026-04-06T12:00:00Z,Music subscription,Subscription
85,H&M,2026-04-07T15:30:00Z,New clothes,Shopping
110,Power Company,2026-04-08T09:00:00Z,Electric bill,Utilities
8.5,Taco Bell,2026-04-12T19:00:00Z,Quick dinner,Food
25,Uber,2026-04-13T09:15:00Z,Ride to airport,Transport
10.99,Audible,2026-04-14T11:30:00Z,Audiobook subscription,Subscription
75,Best Buy,2026-04-15T16:00:00Z,New headphones,Shopping
95,Water & Sewer Dept,2026-04-16T10:30:00Z,Quarterly water bill,Utilities
6.5,Vending Machine,2026-04-20T14:00:00Z,Snack and drink,Food
11.5,Lyft,2026-04-21T08:45:00Z,Ride to bus station,Transport
15.99,Disney+,2026-04-21T13:00:00Z,Streaming fee,Subscription
150,Target,2026-04-22T10:00:00Z,Household goods,Shopping
130,Gas & Electric,2026-04-23T09:00:00Z,Combined utility bill,Utilities
9,Local Pizzeria,2026-04-27T20:00:00Z,Pizza slice,Food
17,Public Bus Service,2026-04-28T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-04-28T14:00:00Z,Streaming service,Subscription
95,Sephora,2026-04-29T14:30:00Z,Makeup and skincare,Shopping
88,Waste Management,2026-04-30T09:00:00Z,Trash collection,Utilities
8,Bakery,2026-05-05T09:00:00Z,Croissant and juice,Food
20,Train Ticket,2026-05-06T08:00:00Z,Commuter ticket,Transport
10.99,Netflix,2026-05-07T11:00:00Z,Subscription,Subscription
90,Clothing Store,2026-05-08T14:00:00Z,New shirt,Shopping
115,City Utilities,2026-05-09T10:00:00Z,Water and gas bill,Utilities
7.5,Local Deli,2026-05-14T12:30:00Z,Lunch sandwich,Food
15,Taxi Ride,2026-05-15T09:30:00Z,Trip to work,Transport
15.99,Hulu,2026-05-16T13:00:00Z,Streaming service,Subscription
130,Amazon,2026-05-17T11:00:00Z,New electronics,Shopping
100,Internet Provider,2026-05-18T09:00:00Z,Monthly internet bill,Utilities
6,Cafe,2026-05-23T11:00:00Z,Coffee and pastry,Food
22,Bus Station,2026-05-24T07:00:00Z,Weekly bus pass,Transport
22.99,The Athletic,2026-05-25T12:00:00Z,Sports news subscription,Subscription
85,Bookstore,2026-05-26T15:00:00Z,New books and stationery,Shopping
95,Gas & Electric,2026-05-27T09:00:00Z,Combined utility bill,Utilities
9,Sandwich Shop,2026-06-01T12:00:00Z,Lunch sandwich,Food
18,Uber,2026-06-02T08:30:00Z,Ride to office,Transport
10.99,Audible,2026-06-03T14:00:00Z,Audiobook subscription,Subscription
110,Electronics Store,2026-06-04T16:00:00Z,New charger and accessories,Shopping
120,Phone Company,2026-06-05T09:00:00Z,Monthly phone bill,Utilities
5.5,Vending Machine,2026-06-10T15:00:00Z,Snack and drink,Food
25,Metro Pass,2026-06-11T08:00:00Z,Weekly travel pass,Transport
15.99,Netflix,2026-06-12T12:00:00Z,Monthly subscription,Subscription
150,Department Store,2026-06-13T16:00:00Z,New clothes and shoes,Shopping
130,Electricity Company,2026-06-14T09:00:00Z,Electricity bill,Utilities
12.5,Starbucks,2026-06-19T09:00:00Z,Coffee and pastry,Food
17,Bus Fare,2026-06-20T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-06-21T14:00:00Z,Streaming service,Subscription
95,Sports Store,2026-06-22T14:30:00Z,New running gear,Shopping
88,Waste Management,2026-06-23T09:00:00Z,Trash collection service,Utilities
6.5,Local Cafe,2026-06-28T11:00:00Z,Coffee and a scone,Food
28,Train Services,2026-06-29T07:50:00Z,Commuter rail ticket,Transport
10.99,Amazon Prime,2026-06-30T11:00:00Z,Annual Prime renewal,Subscription
100,Amazon,2026-07-01T16:00:00Z,New pet supplies,Shopping
130,Gas & Electric,2026-07-02T09:00:00Z,Combined utility bill,Utilities
12.5,Local Cafe,2026-07-07T09:00:00Z,Morning coffee and a croissant,Food
28,Metro Train,2026-07-07T17:45:00Z,Commuter rail ticket,Transport
19.99,Spotify,2026-07-08T12:00:00Z,Premium music service,Subscription
85,H&M,2026-07-09T15:30:00Z,New clothes for spring,Shopping
110,Power Company,2026-07-10T09:00:00Z,Electric bill,Utilities
8.5,Taco Bell,2026-07-14T19:00:00Z,Quick dinner,Food
25,Uber,2026-07-15T09:15:00Z,Ride to the airport,Transport
10.99,Audible,2026-07-16T11:30:00Z,Audiobook subscription,Subscription
75,Best Buy,2026-07-17T16:00:00Z,New headphones,Shopping
95,Water & Sewer Dept,2026-07-18T10:30:00Z,Quarterly water bill,Utilities
6.5,Vending Machine,2026-07-22T14:00:00Z,Snack and a drink,Food
11.5,Lyft,2026-07-23T08:45:00Z,Ride to the bus station,Transport
15.99,Disney+,2026-07-23T13:00:00Z,Streaming service fee,Subscription
150,Target,2026-07-24T10:00:00Z,Household goods and groceries,Shopping
130,Gas & Electric,2026-07-25T09:00:00Z,Combined utility bill,Utilities
9,Local Pizzeria,2026-07-29T20:00:00Z,Pizza slice and soda,Food
17,Public Bus Service,2026-07-30T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-07-30T14:00:00Z,Streaming service,Subscription
95,Sephora,2026-07-31T14:30:00Z,Makeup and skincare,Shopping
88,Waste Management,2026-07-31T09:00:00Z,Trash collection service,Utilities
8,Bakery,2026-08-05T09:00:00Z,Croissant and juice,Food
20,Train Ticket,2026-08-06T08:00:00Z,Commuter ticket,Transport
10.99,Netflix,2026-08-07T11:00:00Z,Subscription,Subscription
90,Clothing Store,2026-08-08T14:00:00Z,New shirt,Shopping
115,City Utilities,2026-08-09T10:00:00Z,Water and gas bill,Utilities
7.5,Local Deli,2026-08-14T12:30:00Z,Lunch sandwich,Food
15,Taxi Ride,2026-08-15T09:30:00Z,Trip to work,Transport
15.99,Hulu,2026-08-16T13:00:00Z,Streaming service,Subscription
130,Amazon,2026-08-17T11:00:00Z,New electronics,Shopping
100,Internet Provider,2026-08-18T09:00:00Z,Monthly internet bill,Utilities
6,Cafe,2026-08-23T11:00:00Z,Coffee and pastry,Food
22,Bus Station,2026-08-24T07:00:00Z,Weekly bus pass,Transport
22.99,The Athletic,2026-08-25T12:00:00Z,Sports news subscription,Subscription
85,Bookstore,2026-08-26T15:00:00Z,New books and stationery,Shopping
95,Gas & Electric,2026-08-27T09:00:00Z,Combined utility bill,Utilities
9,Sandwich Shop,2026-09-01T12:00:00Z,Lunch sandwich,Food
18,Uber,2026-09-02T08:30:00Z,Ride to office,Transport
10.99,Audible,2026-09-03T14:00:00Z,Audiobook subscription,Subscription
110,Electronics Store,2026-09-04T16:00:00Z,New charger and accessories,Shopping
120,Phone Company,2026-09-05T09:00:00Z,Monthly phone bill,Utilities
5.5,Vending Machine,2026-09-10T15:00:00Z,Snack and drink,Food
25,Metro Pass,2026-09-11T08:00:00Z,Weekly travel pass,Transport
15.99,Netflix,2026-09-12T12:00:00Z,Monthly subscription,Subscription
150,Department Store,2026-09-13T16:00:00Z,New clothes and shoes,Shopping
130,Electricity Company,2026-09-14T09:00:00Z,Electricity bill,Utilities
12.5,Starbucks,2026-09-19T09:00:00Z,Coffee and pastry,Food
17,Bus Fare,2026-09-20T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-09-21T14:00:00Z,Streaming service,Subscription
95,Sports Store,2026-09-22T14:30:00Z,New running gear,Shopping
88,Waste Management,2026-09-23T09:00:00Z,Trash collection service,Utilities
6.5,Local Cafe,2026-09-28T11:00:00Z,Coffee and a scone,Food
28,Train Services,2026-09-29T07:50:00Z,Commuter rail ticket,Transport
10.99,Amazon Prime,2026-09-30T11:00:00Z,Annual Prime renewal,Subscription
100,Amazon,2026-10-01T16:00:00Z,New pet supplies,Shopping
130,Gas & Electric,2026-10-02T09:00:00Z,Combined utility bill,Utilities
12.5,Local Cafe,2026-10-07T09:00:00Z,Morning coffee and a croissant,Food
28,Metro Train,2026-10-07T17:45:00Z,Commuter rail ticket,Transport
19.99,Spotify,2026-10-08T12:00:00Z,Premium music service,Subscription
85,H&M,2026-10-09T15:30:00Z,New clothes for spring,Shopping
110,Power Company,2026-10-10T09:00:00Z,Electric bill,Utilities
8.5,Taco Bell,2026-10-14T19:00:00Z,Quick dinner,Food
25,Uber,2026-10-15T09:15:00Z,Ride to the airport,Transport
10.99,Audible,2026-10-16T11:30:00Z,Audiobook subscription,Subscription
75,Best Buy,2026-10-17T16:00:00Z,New headphones,Shopping
95,Water & Sewer Dept,2026-10-18T10:30:00Z,Quarterly water bill,Utilities
6.5,Vending Machine,2026-10-22T14:00:00Z,Snack and a drink,Food
11.5,Lyft,2026-10-23T08:45:00Z,Ride to the bus station,Transport
15.99,Disney+,2026-10-23T13:00:00Z,Streaming service fee,Subscription
150,Target,2026-10-24T10:00:00Z,Household goods and groceries,Shopping
130,Gas & Electric,2026-10-25T09:00:00Z,Combined utility bill,Utilities
9,Local Pizzeria,2026-10-29T20:00:00Z,Pizza slice and soda,Food
17,Public Bus Service,2026-10-30T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-10-30T14:00:00Z,Streaming service,Subscription
95,Sephora,2026-10-31T14:30:00Z,Makeup and skincare,Shopping
88,Waste Management,2026-10-31T09:00:00Z,Trash collection service,Utilities
8,Bakery,2026-11-05T09:00:00Z,Croissant and juice,Food
20,Train Ticket,2026-11-06T08:00:00Z,Commuter ticket,Transport
10.99,Netflix,2026-11-07T11:00:00Z,Subscription,Subscription
90,Clothing Store,2026-11-08T14:00:00Z,New shirt,Shopping
115,City Utilities,2026-11-09T10:00:00Z,Water and gas bill,Utilities
7.5,Local Deli,2026-11-14T12:30:00Z,Lunch sandwich,Food
15,Taxi Ride,2026-11-15T09:30:00Z,Trip to work,Transport
15.99,Hulu,2026-11-16T13:00:00Z,Streaming service,Subscription
130,Amazon,2026-11-17T11:00:00Z,New electronics,Shopping
100,Internet Provider,2026-11-18T09:00:00Z,Monthly internet bill,Utilities
6,Cafe,2026-11-23T11:00:00Z,Coffee and pastry,Food
22,Bus Station,2026-11-24T07:00:00Z,Weekly bus pass,Transport
22.99,The Athletic,2026-11-25T12:00:00Z,Sports news subscription,Subscription
85,Bookstore,2026-11-26T15:00:00Z,New books and stationery,Shopping
95,Gas & Electric,2026-11-27T09:00:00Z,Combined utility bill,Utilities
9,Sandwich Shop,2026-12-02T12:00:00Z,Lunch sandwich,Food
18,Uber,2026-12-03T08:30:00Z,Ride to office,Transport
10.99,Audible,2026-12-04T14:00:00Z,Audiobook subscription,Subscription
110,Electronics Store,2026-12-05T16:00:00Z,New charger and accessories,Shopping
120,Phone Company,2026-12-06T09:00:00Z,Monthly phone bill,Utilities
5.5,Vending Machine,2026-12-11T15:00:00Z,Snack and drink,Food
25,Metro Pass,2026-12-12T08:00:00Z,Weekly travel pass,Transport
15.99,Netflix,2026-12-13T12:00:00Z,Monthly subscription,Subscription
150,Department Store,2026-12-14T16:00:00Z,New clothes and shoes,Shopping
130,Electricity Company,2026-12-15T09:00:00Z,Electricity bill,Utilities
12.5,Starbucks,2026-12-20T09:00:00Z,Coffee and pastry,Food
17,Bus Fare,2026-12-21T07:30:00Z,Weekly bus pass,Transport
16.99,Peacock,2026-12-22T14:00:00Z,Streaming service,Subscription
95,Sports Store,2026-12-23T14:30:00Z,New running gear,Shopping
88,Waste Management,2026-12-24T09:00:00Z,Trash collection service,Utilities
6.5,Local Cafe,2026-12-29T11:00:00Z,Coffee and a scone,Food
28,Train Services,2026-12-30T07:50:00Z,Commuter rail ticket,Transport
10.99,Amazon Prime,2026-12-31T11:00:00Z,Annual Prime renewal,Subscription
